"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"B05000000230","AMC DELANCEY HUDSON CAPITAL PROPERTIES I, L.P.  ","A","FORL","P          CORPORATION TRUST SYSTEM                  ","1209 ORANGE STREET                        ","WILMINGTON                  ","DE","19801     ","  ","05272005"
"P05000077670","SALES AND SERVICE I INC.                        ","A","DOMP","           P.O. BOX 2756                             ","                                          ","STUART                      ","FL","34997     ","US","05312005"
"P05000077710","PROFESSIONAL WAY CONSTRUCTION ENTERPRISES SERVIC","A","DOMP","           522 EAST 40TH STREET                      ","                                          ","HIALEAH                     ","FL","33013     ","  ","05272005"
"L05000053130","JAY-REES ENTERPRISES, LLC                       ","A","FLAL","           60 HOLLOW BRANCH RD.                      ","                                          ","APOPKA                      ","FL","32703     ","  ","05272005"
"L05000053160","GMW PLUMBING,LLC                                ","A","FLAL","           P.O.BOX 691582                            ","                                          ","ORLANDO                     ","FL","32869-1582","US","05272005"
"L05000053110","KIDNEY INSTITUTE OF CLEARWATER, LLC             ","A","FLAL","           617 LAKEVIEW ROAD                         ","                                          ","CLEARWATER                  ","FL","33756-3338","  ","05192005"
"N05000005570","SOUNDSIDE RESERVE HOMEWONERS' ASSOCIATION OF GUL","A","DOMN","P          711 WEST GARDEN STREET                    ","                                          ","PENSACOLA                   ","FL","32502     ","  ","05092005"
"P05000077680","SMOOTH MORTGAGE INC.                            ","A","DOMP","           15327 NW 60 AVE - STE 235                 ","                                          ","MIAMI LAKES                 ","FL","33014     ","  ","05272005"
"P05000077690","COLVEN, CORP.                                   ","A","DOMP","           1247 ALTON ROAD                           ","                                          ","MIAMI BEACH                 ","FL","33139     ","  ","05272005"
"P05000077700","THE TASTING ROOM, INC.                          ","A","DOMP","           3440 HOLLYWOOD BLVD                       ","SUITE 320                                 ","HOLLYWOOD                   ","FL","33021     ","  ","05272005"
"L05000053120","DONAMI VENTURES, LLC                            ","A","FLAL","           2088 WILLOW BROOK LANE                    ","                                          ","HINCKLEY                    ","OH","44233     ","  ","05272005"
